timestamp,chain,chain_name,from_token,to_token,usd_amount,token_amount,project,expectedAmount,efficiency,latency_ms,from_amount_usd,to_amount_usd
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,KyberSwap,9958.349574,102.0148%,788,9757.9,9954.505651064435
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,1inch_fusion,9955.267728,101.9833%,918,9757.900000000001,9951.424994656993
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,Fly,9944.107646,101.8689%,561,9757.900000000001,9940.269220448645
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,Velora,9944.107646,101.8689%,3008,9757.9,9940.269220448645
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,SushiSwap,9944.107638,101.8689%,189,9757.9,9940.26921245173
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,Bebop,9944.107638,101.8689%,501,9757.9,9940.26921245173
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,Odos,9944.100304,101.8689%,1378,9757.900000000001,9940.261881282655
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,OpenOcean,9944.09194,101.8688%,1825,9757.9,9940.25352051116
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,1inch,9939.121845731695,101.8179%,550,9757.900000000001,9935.285344699243
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,Velora Delta,9938.935441,101.8160%,1102,9757.9,9935.099011919774
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,0x,9936.88,101.7949%,637,9757.900000000001,9933.04436432
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,Nordstern Finance,9934.841571,101.7740%,818,9757.900000000001,9931.006722153596
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,10000,3.3333333333333335,CoW Swap,9933.744432,101.7684%,242,9757.36136392,9929.910006649248
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,1inch_fusion,99371.107532,101.7973%,523,97579.0,99332.75028449265
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,KyberSwap,99357.576317,101.7834%,648,97579.0,99319.22429254164
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,SushiSwap,99351.776827,101.7775%,170,97579.0,99313.42704114478
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,Fly,99343.959381,101.7695%,325,97579.0,99305.61261267893
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,Velora,99341.532448,101.7670%,3854,97579.0,99303.18661647507
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,Velora Delta,99339.118747,101.7645%,1082,97579.0,99300.77384716365
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,OpenOcean,99322.718699,101.7477%,2008,97579.0,99284.38012958219
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,1inch,99309.06126859729,101.7337%,504,97579.0,99270.72797094761
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,Odos,99307.991438,101.7326%,1628,97579.0,99269.65855330494
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,0x,99301.7,101.7262%,523,97579.0,99263.3695438
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,Bebop,99299.88554,101.7243%,518,97579.0,99261.55578418156
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,Nordstern Finance,99234.796925,101.6576%,488,97579.0,99196.49229338695
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,100000,33.333333333333336,CoW Swap,99180.284842,101.6024%,242,97578.44965444,99142.00125205098
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,1inch_fusion,992640.640864,101.6876%,513,975789.9999999999,992257.4815766264
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,Velora Delta,992000.544381,101.6220%,4708,975789.9999999999,991617.6321708689
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,Velora,991782.013935,101.5996%,5708,975789.9999999999,991399.1860776212
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,1inch,991198.5191017122,101.5399%,490,975789.9999999999,990815.9164733388
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,Odos,990758.005969,101.4947%,2976,975789.9999999999,990375.573378696
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,KyberSwap,990726.068851,101.4915%,6269,975789.9999999999,990343.6485884236
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,SushiSwap,990349.14431,101.4529%,632,975789.9999999999,989966.8695402964
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,Bebop,990349.14431,101.4529%,869,975789.9999999999,989966.8695402964
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,0x,990348.8899999999,101.4528%,514,975789.9999999999,989966.6153284599
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,Fly,990023.619111,101.4195%,403,975789.9999999999,989641.4699940231
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,OpenOcean,989894.821632,101.4063%,2383,975789.9999999999,989512.7222308501
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,CoW Swap,988551.570652,101.2688%,242,975789.4262354799,988169.9897457283
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDC,1000000,333.3333333333333,Nordstern Finance,988193.173191,101.2320%,823,975789.9999999999,987811.7306261483
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDT,10000,3.3333333333333335,KyberSwap,9947.369686,101.8306%,5828,9757.9,9936.52705304226
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDT,10000,3.3333333333333335,Velora,9939.740922,101.7525%,1739,9757.9,9928.90660439502
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDT,10000,3.3333333333333335,1inch_fusion,9939.425973,101.7493%,472,9757.900000000001,9928.59199868943
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDT,10000,3.3333333333333335,Fly,9939.384917,101.7488%,332,9757.900000000001,9928.550987440469
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDT,10000,3.3333333333333335,Odos,9939.187023,101.7468%,2312,9757.900000000001,9928.35330914493
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDT,10000,3.3333333333333335,Velora Delta,9938.924685,101.7441%,949,9757.9,9928.091257093349
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDT,10000,3.3333333333333335,0x,9938.88,101.7437%,571,9757.900000000001,9928.046620799998
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDT,10000,3.3333333333333335,SushiSwap,9938.063489,101.7353%,138,9757.9,9927.23099979699
2026-01-27_19-58-12,Mainnet,Ethereum,ETH,USDT,10000,3.3333333333333335,Bebop,9938.063489,101.7353%,645,9757.9,9927.23099979699
